	mz	charged_formula	selectivity	neutral_formula_mass	ion_relation
C27H38O8_245.127785	245.127785	C27H38O8		C27H36O8_488.241018	M+2H[2+]
C9H9ClO3_200.023473	200.023473	C9H9ClO3		C9H9ClO3_200.024022	M[1+]
C25H33NaO11_533.199309	533.199309	C25H33NaO11		C24H32O9_464.204633	M+HCOONa[1+]
C18H24NaO3_311.161821	311.161821	C18H24NaO3		C18H24O3_288.172545	M+Na[1+]
C13H5O3_209.023249	209.023249	C13H5O3		C13H8O5_244.037173	M-H4O2+H[1+]
C20H33NaO_156.120934	156.120934	C20H33NaO		C20H32O_288.245316	M+H+Na[2+]
C14H32N6_284.268296	284.268296	C14H32N6		C14H32N6_284.268845	M[1+]
C35H58NO4_556.436084	556.436084	C35H58NO4		C35H60N2O4_572.455308	M-NH3+H[1+]
C37H55NNaO2_568.412556	568.412556	C37H55NNaO2		C37H55NO2_545.42328	M+Na[1+]
C42H79NO8P_756.553781	756.553781	C42H79NO8P		C42H78NO8P_755.546505	M+H[1+]
C6H10NO_112.075688	112.075688	C6H10NO		C6H6O_94.041865	M+NH4[1+]
C28H53O5_469.388786	469.388786	C28H53O5		C28H50O4_450.37091	M+H2O+H[1+]
C15H29O2_241.216241	241.216241	C15H29O2		C15H26O_222.198365	M+H2O+H[1+]
C7H9ClO6P2S_317.92781	317.92781	C7H9ClO6P2S		C7H9ClO6P2S_317.928359	M[1+]
C2HF3Na_104.992311	104.992311	C2HF3Na		C2HF3_82.003035	M+Na[1+]
C14(C13)H11N2O_236.089989	236.089989	C14(C13)H11N2O		C15H10N2O_234.079313	M(C13)+H[1+]
C18H21N2O3_313.154669	313.154669	C18H21N2O3		C18H20N2O3_312.147393	M+H[1+]
C38H76N3O12_766.542349	766.542349	C38H76N3O12		C38H72N2O12_748.508526	M+NH4[1+]
C6(C13)H9N2O3_170.064168	170.064168	C6(C13)H9N2O3		C7H8N2O3_168.053492	M(C13)+H[1+]
C58H97O25_397.876749	397.876749	C58H97O25		C58H94O25_1190.608419	M+3H[3+]
CH6ClSi_80.99218	80.99218	CH6ClSi		CH5ClSi_79.984904	M+H[1+]
C26H25Cl2N4O2_495.134837	495.134837	C26H25Cl2N4O2		C26H28Cl2N4O4_530.148761	M-H4O2+H[1+]
C30H55NO7P_572.371066	572.371066	C30H55NO7P		C30H54NO7P_571.36379	M+H[1+]
C10H15N2Na_93.056125	93.056125	C10H15N2Na		C10H14N2_162.115698	M+H+Na[2+]
C22H42O2_169.158692	169.158692	C22H42O2		C22H40O2_336.302831	M+2H[2+]
C6H5NS_123.013721	123.013721	C6H5NS		C6H5NS_123.01427	M[1+]
C18(C13)H21N_132.084851	132.084851	C18(C13)H21N		C19H19N_261.15175	M(C13)+2H[2+]
C15H16NO3_258.112469	258.112469	C15H16NO3		C15H15NO3_257.105193	M+H[1+]
C6H8N5O_166.072336	166.072336	C6H8N5O		C6H7N5O_165.06506	M+H[1+]
C20H39O4_343.284321	343.284321	C20H39O4		C20H36O3_324.266445	M+H2O+H[1+]
C8(C13)H14NO_153.11039	153.11039	C8(C13)H14NO		C9H13NO_151.099714	M(C13)+H[1+]
C20H7Cl4I4O5_324.840329	324.840329	C20H7Cl4I4O5		C20H4Cl4I4O5_971.499158	M+3H[3+]
C10H12NO4_210.076084	210.076084	C10H12NO4		C10H11NO4_209.068808	M+H[1+]
C16H25O2_249.184871	249.184871	C16H25O2		C16H26O3_266.188195	M-H2O+H[1+]
C5H7O2_99.044105	99.044105	C5H7O2		C5H9NO2_115.063329	M-NH3+H[1+]
C11H16O5S_130.035374	130.035374	C11H16O5S		C11H14O5S_258.056195	M+2H[2+]
C7H11(S34)OS_177.020382	177.020382	C7H11(S34)OS		C7H10OS2_174.017306	M(S34)+H[1+]
C5H7NO2Se_192.963651	192.963651	C5H7NO2Se		C5H7NO2Se_192.9642	M[1+]
C7H15N2_127.122939	127.122939	C7H15N2		C7H16N2O_144.126263	M-H2O+H[1+]
C5H2N3O_120.019287	120.019287	C5H2N3O		C5H4N4O_136.038511	M-NH3+H[1+]
C3H3Cl2O_124.955546	124.955546	C3H3Cl2O		C3H2Cl2O_123.94827	M+H[1+]
C7H14K_137.072326	137.072326	C7H14K		C7H14_98.10955	M+K[1+]
C40H77O10P_748.524886	748.524886	C40H77O10P		C40H77O10P_748.525435	M[1+]
C11H12N2_172.099499	172.099499	C11H12N2		C11H12N2_172.100048	M[1+]
C10H15KN4O15P3_562.937451	562.937451	C10H15KN4O15P3		C10H15N4O15P3_523.974675	M+K[1+]
C7H7_91.054275	91.054275	C7H7		C7H9N_107.073499	M-NH3+H[1+]
C11H19O2_183.137956	183.137956	C11H19O2		C11H18O2_182.13068	M+H[1+]
C18H33NaO2_152.118391	152.118391	C18H33NaO2		C18H32O2_280.24023	M+H+Na[2+]
C11H17_149.132406	149.132406	C11H17		C11H20O2_184.14633	M-H4O2+H[1+]
C10(C13)H18O5_115.558863	115.558863	C10(C13)H18O5		C11H16O5_228.099774	M(C13)+2H[2+]
C5H7ClNOS_163.993053	163.993053	C5H7ClNOS		C6H6ClNO2S_190.980777	M-CO+H[1+]
C8H10NO6S_248.022334	248.022334	C8H10NO6S		C8H9NO6S_247.015058	M+H[1+]
C3H6ClN2NaO2_161.008803	161.008803	C3H6ClN2NaO2		C3H6N2O2_102.042927	M+NaCl[1+]
C2(C13)H3ClF5O_185.982109	185.982109	C2(C13)H3ClF5O		C3H2ClF5O_183.971433	M(C13)+H[1+]
C28(C13)H60NO4_162.484596	162.484596	C28(C13)H60NO4		C29H57NO4_483.428759	M(C13)+3H[3+]
C13H18NO3_236.128155	236.128155	C13H18NO3		C13H15NO2_217.110279	M+H2O+H[1+]
C20H21S_293.135896	293.135896	C20H21S		C20H23NS_309.15512	M-NH3+H[1+]
C13(C13)H14O4S_139.531791	139.531791	C13(C13)H14O4S		C14H12O4S_276.04563	M(C13)+2H[2+]
HNaW_103.973743	103.973743	HNaW		W_183.950933	M+H+Na[2+]
C7H13_97.101141	97.101141	C7H13		C7H14O_114.104465	M-H2O+H[1+]
C7H6BrFO_203.958061	203.958061	C7H6BrFO		C7H6BrFO_203.95861	M[1+]
C14HF8O2_352.984331	352.984331	C14HF8O2		C14F8O2_351.977055	M+H[1+]
C11H6ClNaO3_244.99757	244.99757	C11H6ClNaO3		C11H6O3_186.031694	M+NaCl[1+]
C24H30ClNaO8_505.159944	505.159944	C24H30ClNaO8		C24H30O8_446.194068	M+NaCl[1+]
C9H7Cl2N2_212.998129	212.998129	C9H7Cl2N2		C9H9Cl2N3_229.017353	M-NH3+H[1+]
C5H9_69.069841	69.069841	C5H9		C5H10O_86.073165	M-H2O+H[1+]
C9(C13)H18N3S_213.124994	213.124994	C9(C13)H18N3S		C10H17N3S_211.114318	M(C13)+H[1+]
C3H10NS2_124.024918	124.024918	C3H10NS2		C3H9NS2_123.017642	M+H[1+]
CH4NaS2_102.964718	102.964718	CH4NaS2		CH4S2_79.975442	M+Na[1+]
C46H78KO2_701.562958	701.562958	C46H78KO2		C46H78O2_662.600182	M+K[1+]
C7H8ClN2NaO3_227.019368	227.019368	C7H8ClN2NaO3		C7H8N2O3_168.053492	M+NaCl[1+]
C3H11N2O4S_171.043401	171.043401	C3H11N2O4S		C3H7NO4S_153.009578	M+NH4[1+]
C7H11NaO4_91.027231	91.027231	C7H11NaO4		C7H10O4_158.057909	M+H+Na[2+]
H3ClOTl_258.961157	258.961157	H3ClOTl		ClTl_239.943281	M+H2O+H[1+]
C21H33NaO4_373.234906	373.234906	C21H33NaO4		C20H32O2_304.24023	M+HCOONa[1+]
C12H16N5O6S2_390.05373	390.05373	C12H16N5O6S2		C13H17N5O8S2_435.051854	M-HCOOH+H[1+]
C6H7O5S_191.00087	191.00087	C6H7O5S		C6H6O5S_189.993594	M+H[1+]
C3H4Cl2O2_141.958286	141.958286	C3H4Cl2O2		C3H4Cl2O2_141.958835	M[1+]
ClKTl_278.906057	278.906057	ClKTl		ClTl_239.943281	M+K[1+]
C17H13Cl3N3OS3_475.928085	475.928085	C17H13Cl3N3OS3		C17H12Cl3N3OS3_474.920809	M+H[1+]
C5H3ClFNNaO_169.977996	169.977996	C5H3ClFNNaO		C5H3ClFNO_146.98872	M+Na[1+]
C29H56KNO5_538.386771	538.386771	C29H56KNO5		C28H55NO3_453.418195	M+HCOOK[1+]
C9H6BrClNO2S_305.898566	305.898566	C9H6BrClNO2S		C9H5BrClNO2S_304.89129	M+H[1+]
C7H7S4_218.942538	218.942538	C7H7S4		C10H10O2S4_289.956362	M-C3H4O2+H[1+]
C31H62NO4_512.467335	512.467335	C31H62NO4		C31H61NO4_511.460059	M+H[1+]
C42H31O10_695.191173	695.191173	C42H31O10		C42H30O10_694.183897	M+H[1+]
C9H12N2Na_171.089324	171.089324	C9H12N2Na		C9H12N2_148.100048	M+Na[1+]
C15H29O3_257.211156	257.211156	C15H29O3		C15H26O2_238.19328	M+H2O+H[1+]
C15(C13)H31NO_127.121434	127.121434	C15(C13)H31NO		C16H29NO_251.224915	M(C13)+2H[2+]
CH3ClNNaS2_151.936566	151.936566	CH3ClNNaS2		CH3NS2_92.97069	M+NaCl[1+]
C17(C13)H20FN2O_100.052507	100.052507	C17(C13)H20FN2O		C18H17FN2O_296.132491	M(C13)+3H[3+]
C14H14I3N3O5_684.806251	684.806251	C14H14I3N3O5		C14H14I3N3O5_684.8068	M[1+]
C3H7N2O3S_151.017238	151.017238	C3H7N2O3S		C3H9N3O3S_167.036462	M-NH3+H[1+]
C8H15N2O2_171.112804	171.112804	C8H15N2O2		C8H14N2O2_170.105528	M+H[1+]
C22H46NNaO7P_490.290465	490.290465	C22H46NNaO7P		C22H46NO7P_467.301189	M+Na[1+]
C5H7N2_95.060423	95.060423	C5H7N2		C5H9N3_111.079647	M-NH3+H[1+]
C14(C13)H21O8_110.041732	110.041732	C14(C13)H21O8		C15H18O8_326.100168	M(C13)+3H[3+]
C16H17N2NaO6S2_210.020765	210.020765	C16H17N2NaO6S2		C16H16N2O6S2_396.044978	M+H+Na[2+]
C32(C13)H43N4O6_592.321111	592.321111	C32(C13)H43N4O6		C33H42N4O6_590.310435	M(C13)+H[1+]
C10H14N5O5_284.098945	284.098945	C10H14N5O5		C10H13N5O5_283.091669	M+H[1+]
C4H7INaO2_236.938356	236.938356	C4H7INaO2		C4H7IO2_213.94908	M+Na[1+]
C13H24NO2_226.18019	226.18019	C13H24NO2		C13H21NO_207.162314	M+H2O+H[1+]
C13H28NO_214.216538	214.216538	C13H28NO		C13H24O_196.182715	M+NH4[1+]
C13H8Cl2KNO5_367.948875	367.948875	C13H8Cl2KNO5		C12H7Cl2NO3_282.980299	M+HCOOK[1+]
C44H83NO7P_768.590166	768.590166	C44H83NO7P		C44H82NO7P_767.58289	M+H[1+]
C6H10N2PS_173.029731	173.029731	C6H10N2PS		C6H12N3PS_189.048955	M-NH3+H[1+]
C8H7KO3_191.010441	191.010441	C8H7KO3		C7H6O_106.041865	M+HCOOK[1+]
C57H107O9_311.929955	311.929955	C57H107O9		C57H104O9_932.768035	M+3H[3+]
C6H15N2_115.123054	115.123054	C6H15N2		C7H16N2O2_160.121178	M-HCOOH+H[1+]
C16H27NaO3_291.193041	291.193041	C16H27NaO3		C15H26O_222.198365	M+HCOONa[1+]
C7H5(Cl37)NO2_171.997532	171.997532	C7H5(Cl37)NO2		C7H4ClNO2_168.993056	M(Cl37)+H[1+]
C14H26NaO5_297.1673	297.1673	C14H26NaO5		C14H26O5_274.178024	M+Na[1+]
C5H5ClF5O2_226.989274	226.989274	C5H5ClF5O2		C5H4ClF5O2_225.981998	M+H[1+]
C31(C13)H43N5O5_289.164361	289.164361	C31(C13)H43N5O5		C32H41N5O5_575.310769	M(C13)+2H[2+]
C9H16N2O12P2_203.008375	203.008375	C9H16N2O12P2		C9H14N2O12P2_404.002197	M+2H[2+]
C18H38NO2_300.289705	300.289705	C18H38NO2		C18H37NO2_299.282429	M+H[1+]
C8H14NaO4_197.078485	197.078485	C8H14NaO4		C8H14O4_174.089209	M+Na[1+]
H2CrO4_117.935265	117.935265	H2CrO4		CrH2O4_117.935814	M[1+]
C21H29F2O3_367.207956	367.207956	C21H29F2O3		C22H28F2O5_410.19048	M-CO2+H[1+]
C90(C13)H148O17P2_788.01074	788.01074	C90(C13)H148O17P2		C91H146O17P2_1573.003527	M(C13)+2H[2+]
C13H14Br2N3O3S_449.911716	449.911716	C13H14Br2N3O3S		C13H13Br2N3O3S_448.90444	M+H[1+]
C7H7ClNO3_188.010932	188.010932	C7H7ClNO3		C7H4ClNO2_168.993056	M+H2O+H[1+]
C14H24NO2_238.180153	238.180153	C14H24NO2		C14H20O2_220.14633	M+NH4[1+]
C12H24N_182.19024	182.19024	C12H24N		C13H23NO_209.177964	M-CO+H[1+]
C24H43O6S_153.09213	153.09213	C24H43O6S		C24H40O6S_456.25456	M+3H[3+]
C8H7Cl2N3Na_237.990979	237.990979	C8H7Cl2N3Na		C8H7Cl2N3_215.001703	M+Na[1+]
C5H9NaO6_189.036935	189.036935	C5H9NaO6		C4H8O4_120.042259	M+HCOONa[1+]
C5H11KO4S2_238.980797	238.980797	C5H11KO4S2		C4H10O2S2_154.012221	M+HCOOK[1+]
C4H6KN2_121.015874	121.015874	C4H6KN2		C4H6N2_82.053098	M+K[1+]
C6H5BrO3S_235.913731	235.913731	C6H5BrO3S		C6H5BrO3S_235.91428	M[1+]
C10H21N2NaO4_257.147154	257.147154	C10H21N2NaO4		C9H20N2O2_188.152478	M+HCOONa[1+]
C5H11NNaO2_140.068255	140.068255	C5H11NNaO2		C5H11NO2_117.078979	M+Na[1+]
C16H14(Cl37)FNO5_356.051104	356.051104	C16H14(Cl37)FNO5		C16H13ClFNO5_353.046628	M(Cl37)+H[1+]
C8H13NaO4_98.035056	98.035056	C8H13NaO4		C8H12O4_172.073559	M+H+Na[2+]
C9H15N3NaO2_220.105703	220.105703	C9H15N3NaO2		C9H15N3O2_197.116427	M+Na[1+]
C33H57NaO10_318.19195	318.19195	C33H57NaO10		C33H56O10_612.387348	M+H+Na[2+]
CH3FNaO2S_120.973055	120.973055	CH3FNaO2S		CH3FO2S_97.983779	M+Na[1+]
C5(C13)H8O9S_256.991754	256.991754	C5(C13)H8O9S		C6H8O9S_255.988903	M(C13)[1+]
C23(C13)H34N2O5_431.249623	431.249623	C23(C13)H34N2O5		C24H34N2O5_430.246772	M(C13)[1+]
C13H11KO3S2_318.985882	318.985882	C13H11KO3S2		C12H10OS2_234.017306	M+HCOOK[1+]
C2H2ClF3_117.979163	117.979163	C2H2ClF3		C2H2ClF3_117.979712	M[1+]
C11H12Cl2N2O5_322.011778	322.011778	C11H12Cl2N2O5		C11H12Cl2N2O5_322.012327	M[1+]
C6H5_77.038541	77.038541	C6H5		C6H6O_94.041865	M-H2O+H[1+]
C3HClF5NaO2_222.955545	222.955545	C3HClF5NaO2		C2ClF5_153.960869	M+HCOONa[1+]
C4H10KO2_129.030856	129.030856	C4H10KO2		C4H10O2_90.06808	M+K[1+]
C6H10S6_273.910125	273.910125	C6H10S6		C6H10S6_273.910674	M[1+]
C12H18NNaO10S_195.526934	195.526934	C12H18NNaO10S		C12H17NO10S_367.057316	M+H+Na[2+]
C10H6Cl2NOS2_289.926238	289.926238	C10H6Cl2NOS2		C10H5Cl2NOS2_288.918962	M+H[1+]
C6H10O4S_178.029431	178.029431	C6H10O4S		C6H10O4S_178.02998	M[1+]
C18H29NaO5_349.198521	349.198521	C18H29NaO5		C17H28O3_280.203845	M+HCOONa[1+]
C11H16N3O_206.128786	206.128786	C11H16N3O		C11H12N2O_188.094963	M+NH4[1+]
C9H2F14NaO4_462.962229	462.962229	C9H2F14NaO4		C9H2F14O4_439.972953	M+Na[1+]
C59(C13)H97O6_304.910023	304.910023	C59(C13)H97O6		C60H94O6_910.705041	M(C13)+3H[3+]
C5H5NS_111.013721	111.013721	C5H5NS		C5H5NS_111.01427	M[1+]
C18(C13)H27O2_288.203956	288.203956	C18(C13)H27O2		C19H26O2_286.19328	M(C13)+H[1+]
C48H40N13O15S3_1134.192347	1134.192347	C48H40N13O15S3		C48H39N13O15S3_1133.185071	M+H[1+]
C37H65O5_196.493851	196.493851	C37H65O5		C37H62O5_586.459725	M+3H[3+]
C3H8N3O_102.066186	102.066186	C3H8N3O		C3H4N2O_84.032363	M+NH4[1+]
C21(C13)H39NO5_199.142563	199.142563	C21(C13)H39NO5		C22H37NO5_395.267173	M(C13)+2H[2+]
C5H9NOS2_163.012006	163.012006	C5H9NOS2		C5H9NOS2_163.012555	M[1+]
C35H71NO9P_680.486131	680.486131	C35H71NO9P		C35H68NO8P_661.468255	M+H2O+H[1+]
C5H12KNO7P_267.997915	267.997915	C5H12KNO7P		C5H12NO7P_229.035139	M+K[1+]
C9H14NNaO2_95.545591	95.545591	C9H14NNaO2		C9H13NO2_167.094629	M+H+Na[2+]
C3(C13)H6O4S2_182.973601	182.973601	C3(C13)H6O4S2		C4H6O4S2_181.97075	M(C13)[1+]
C8H12FN2O3_203.082676	203.082676	C8H12FN2O3		C9H11FN2O5_246.0652	M-CO2+H[1+]
C3H7ClO2_110.012908	110.012908	C3H7ClO2		C3H7ClO2_110.013457	M[1+]
C3H5Cl2NNaO_163.964095	163.964095	C3H5Cl2NNaO		C3H5Cl2NO_140.974819	M+Na[1+]
C10H10NO3_192.065519	192.065519	C10H10NO3		C10H9NO3_191.058243	M+H[1+]
C6H9Br2N2O_282.907646	282.907646	C6H9Br2N2O		C6H6Br2N2_263.88977	M+H2O+H[1+]
C9H12INO4P_355.954316	355.954316	C9H12INO4P		C9H11INO4P_354.94704	M+H[1+]
C15H17Cl2N5NaO6_228.021884	228.021884	C15H17Cl2N5NaO6		C15H16Cl2N5O6_432.047215	M+H+Na[2+]
C9H14ClN2O2S_249.045817	249.045817	C9H14ClN2O2S		C10H13ClN2O3S_276.033541	M-CO+H[1+]
C10H6BrNNaO2S_305.919536	305.919536	C10H6BrNNaO2S		C10H6BrNO2S_282.93026	M+Na[1+]
C20H18FNaO3S_190.042398	190.042398	C20H18FNaO3S		C20H17FO3S_356.088243	M+H+Na[2+]
H4NO3S2_129.96274	129.96274	H4NO3S2		C3H7NO5S2_200.976564	M-C3H4O2+H[1+]
C16H22KO4_317.114585	317.114585	C16H22KO4		C16H22O4_278.151809	M+K[1+]
C10H17N3O6_275.111186	275.111186	C10H17N3O6		C10H17N3O6_275.111735	M[1+]
C4H6NO2S2_163.983446	163.983446	C4H6NO2S2		C4H5NO2S2_162.97617	M+H[1+]
C22(C13)H30NO9_155.064537	155.064537	C22(C13)H30NO9		C23H27NO9_461.168581	M(C13)+3H[3+]
C2HO4S_120.958935	120.958935	C2HO4S		C2H4O6S_155.972859	M-H4O2+H[1+]
C9H8I2NaO4_456.840472	456.840472	C9H8I2NaO4		C9H8I2O4_433.851196	M+Na[1+]
C2H12NO7P2_224.00835	224.00835	C2H12NO7P2		C2H8O7P2_205.974527	M+NH4[1+]
C17(C13)H31N3O5_185.114337	185.114337	C17(C13)H31N3O5		C18H29N3O5_367.210721	M(C13)+2H[2+]
C49H74NNaO8P_858.504481	858.504481	C49H74NNaO8P		C49H74NO8P_835.515205	M+Na[1+]
C14H13N2O_225.102237	225.102237	C14H13N2O		C14H9NO_207.068414	M+NH4[1+]
C9H19N2S_187.126343	187.126343	C9H19N2S		C9H15NS_169.09252	M+NH4[1+]
C8H12NO4_186.076119	186.076119	C8H12NO4		C8H9NO3_167.058243	M+H2O+H[1+]
C6H15NaO6S2_135.009866	135.009866	C6H15NaO6S2		C6H14O6S2_246.02318	M+H+Na[2+]
C23H22N2O4S_211.064465	211.064465	C23H22N2O4S		C23H20N2O4S_420.114378	M+2H[2+]
C7H9O5S_205.016549	205.016549	C7H9O5S		C10H12O7S_276.030373	M-C3H4O2+H[1+]
C2H7OS3_142.965388	142.965388	C2H7OS3		C2H4S3_123.947512	M+H2O+H[1+]
C25H51N6O9_579.371239	579.371239	C25H51N6O9		C25H48N6O8_560.353363	M+H2O+H[1+]
C3H13N4_105.113387	105.113387	C3H13N4		C4H12N4O_132.101111	M-CO+H[1+]
C6H6AsNO5_246.945645	246.945645	C6H6AsNO5		C6H6AsNO5_246.946194	M[1+]
C8H20BNa_150.155082	150.155082	C8H20BNa		C8H20B_127.165806	M+Na[1+]
C17(C13)H17Cl2NO4_382.056314	382.056314	C17(C13)H17Cl2NO4		C18H17Cl2NO4_381.053463	M(C13)[1+]
C29H46O8_261.159085	261.159085	C29H46O8		C29H44O8_520.303618	M+2H[2+]
C17H27O5_311.185329	311.185329	C17H27O5		C18H26O7_354.167853	M-CO2+H[1+]
C6H15O6_183.086314	183.086314	C6H15O6		C6H14O6_182.079038	M+H[1+]
C9H11N2O2_179.081504	179.081504	C9H11N2O2		C9H10N2O2_178.074228	M+H[1+]
C12H6Cl4S_321.893883	321.893883	C12H6Cl4S		C12H6Cl4S_321.894432	M[1+]
C18H25ClNO_102.053607	102.053607	C18H25ClNO		C18H22ClNO_303.138992	M+3H[3+]
C9H17N4O_197.139716	197.139716	C9H17N4O		C10H16N4O3_240.12224	M-CO2+H[1+]
C12H25KNO5_302.136049	302.136049	C12H25KNO5		C12H25NO5_263.173273	M+K[1+]
C41H62NO6_664.457079	664.457079	C41H62NO6		C42H61NO7_691.444803	M-CO+H[1+]
C15H34O2Si_137.115855	137.115855	C15H34O2Si		C15H32O2Si_272.217157	M+2H[2+]
C13H23N2O4_271.165269	271.165269	C13H23N2O4		C13H20N2O3_252.147393	M+H2O+H[1+]
C3H7O4_107.033885	107.033885	C3H7O4		C3H6O4_106.026609	M+H[1+]
C17H32NO4_314.232584	314.232584	C17H32NO4		C17H31NO4_313.225308	M+H[1+]
C25H45NaO3_208.162799	208.162799	C25H45NaO3		C25H44O3_392.329045	M+H+Na[2+]
C22H36NO4_378.263883	378.263883	C22H36NO4		C22H32O4_360.23006	M+NH4[1+]
H7NO4P_116.010718	116.010718	H7NO4P		H3O4P_97.976895	M+NH4[1+]
C2H3ClNaO2_116.971433	116.971433	C2H3ClNaO2		C2H3ClO2_93.982157	M+Na[1+]
C12H19O3_211.132835	211.132835	C12H19O3		C12H20O4_228.136159	M-H2O+H[1+]
C31H39NaO7_547.2666	547.2666	C31H39NaO7		C30H38O5_478.271924	M+HCOONa[1+]
C13H13N2O6_293.076847	293.076847	C13H13N2O6		C13H10N2O5_274.058971	M+H2O+H[1+]
C16H23ClN3_292.157501	292.157501	C16H23ClN3		C16H22ClN3_291.150225	M+H[1+]
C7H6ClN2O3S_232.978181	232.978181	C7H6ClN2O3S		C7H7ClN2O4S_249.981505	M-H2O+H[1+]
C9H11Cl2N4Na_134.012402	134.012402	C9H11Cl2N4Na		C9H10Cl2N4_244.028252	M+H+Na[2+]
C53H99N2O16_1019.69899	1019.69899	C53H99N2O16		C54H100N2O18_1064.697114	M-HCOOH+H[1+]
H4(Cl37)O3_88.980451	88.980451	H4(Cl37)O3		ClH3O3_85.975975	M(Cl37)+H[1+]
C8H11INOS2_327.932166	327.932166	C8H11INOS2		C8H8INS2_308.91429	M+H2O+H[1+]
C9H13ClO3_102.027112	102.027112	C9H13ClO3		C9H11ClO3_202.039672	M+2H[2+]
C9H10NO5_212.055398	212.055398	C9H10NO5		C9H12N2O5_228.074622	M-NH3+H[1+]
C13H21N2_205.169923	205.169923	C13H21N2		C13H17N_187.1361	M+NH4[1+]
C26H49NaO4_449.360107	449.360107	C26H49NaO4		C25H48O2_380.365431	M+HCOONa[1+]
C7H5BrIN2_322.867536	322.867536	C7H5BrIN2		C7H4BrIN2_321.86026	M+H[1+]
C6H14NO2_132.101905	132.101905	C6H14NO2		C6H13NO2_131.094629	M+H[1+]
C12H29O4_237.206071	237.206071	C12H29O4		C12H26O3_218.188195	M+H2O+H[1+]
C10H8NNaO4_114.51703	114.51703	C10H8NNaO4		C10H7NO4_205.037508	M+H+Na[2+]
C15H7N2O_231.055218	231.055218	C15H7N2O		C15H10N2O3_266.069142	M-H4O2+H[1+]
C48H90NO8P_839.639856	839.639856	C48H90NO8P		C48H90NO8P_839.640405	M[1+]
C2H6NaS2_116.980368	116.980368	C2H6NaS2		C2H6S2_93.991092	M+Na[1+]
C6H5Cl2Na_170.973854	170.973854	C6H5Cl2Na		C6H5Cl_112.007978	M+NaCl[1+]
C3H6ClKO3_164.971468	164.971468	C3H6ClKO3		C2H5ClO_80.002892	M+HCOOK[1+]
C6H5ClNOS_173.977453	173.977453	C6H5ClNOS		C6H6ClNO2S_190.980777	M-H2O+H[1+]
C10H11O3_179.07027	179.07027	C10H11O3		C10H10O3_178.062994	M+H[1+]
C6H9N2O2S2_205.009924	205.009924	C6H9N2O2S2		C6H12N2O4S2_240.023848	M-H4O2+H[1+]
C7H16NO2_146.117555	146.117555	C7H16NO2		C7H15NO2_145.110279	M+H[1+]
C9H8ClNaO_191.023391	191.023391	C9H8ClNaO		C9H8O_132.057515	M+NaCl[1+]
C3H4ClF3NaO_170.979553	170.979553	C3H4ClF3NaO		C3H4ClF3O_147.990277	M+Na[1+]
C64(C13)H104O6_490.892797	490.892797	C64(C13)H104O6		C65H102O6_978.767641	M(C13)+2H[2+]
C6H7N4O3_183.051266	183.051266	C6H7N4O3		C6H6N4O3_182.04399	M+H[1+]
C5H5NaO6_185.005635	185.005635	C5H5NaO6		C4H4O4_116.010959	M+HCOONa[1+]
C12H18N2NaO2S_277.098175	277.098175	C12H18N2NaO2S		C12H18N2O2S_254.108899	M+Na[1+]
C4(C13)H12NO_103.09474	103.09474	C4(C13)H12NO		C5H11NO_101.084064	M(C13)+H[1+]
C42H85O7P_732.602743	732.602743	C42H85O7P		C42H85O7P_732.603292	M[1+]
C51(C13)H104NO10P_467.371044	467.371044	C51(C13)H104NO10P		C52H102NO10P_931.724135	M(C13)+2H[2+]
C11H13NaO4_233.078406	233.078406	C11H13NaO4		C10H12O2_164.08373	M+HCOONa[1+]
C9(C13)H11NO4_210.071659	210.071659	C9(C13)H11NO4		C10H11NO4_209.068808	M(C13)[1+]
C9H5O4S_208.990235	208.990235	C9H5O4S		C9H8O6S_244.004159	M-H4O2+H[1+]
C4H11Cl2KN2O2P_258.956296	258.956296	C4H11Cl2KN2O2P		C4H11Cl2N2O2P_219.99352	M+K[1+]
C6H2Cl2N2S_203.931026	203.931026	C6H2Cl2N2S		C6H2Cl2N2S_203.931575	M[1+]
C14H21_189.163777	189.163777	C14H21		C14H20_188.156501	M+H[1+]
C76H145NaO17P2_707.492215	707.492215	C76H145NaO17P2		C76H144O17P2_1390.987877	M+H+Na[2+]
C4H3N2_79.029003	79.029003	C4H3N2		C4H6N2O2_114.042927	M-H4O2+H[1+]
C11(C13)H16ClN3O_127.050246	127.050246	C11(C13)H16ClN3O		C12H14ClN3O_251.08254	M(C13)+2H[2+]
C25H41NO_371.317682	371.317682	C25H41NO		C25H42NO2_388.321006	M-H2O+H[1+]
C39H74NaO8P_362.250429	362.250429	C39H74NaO8P		C39H73O8P_700.504306	M+H+Na[2+]
C6H5Cl3NO4_259.927865	259.927865	C6H5Cl3NO4		C6HCl3O4_241.894042	M+NH4[1+]
C6(C13)H13NO8P_271.040729	271.040729	C6(C13)H13NO8P		C7H12NO8P_269.030053	M(C13)+H[1+]
C14H20N2O7_164.062977	164.062977	C14H20N2O7		C14H18N2O7_326.111401	M+2H[2+]
C16H13ClN4O_156.038346	156.038346	C16H13ClN4O		C16H11ClN4O_310.062139	M+2H[2+]
C5H7O3_115.039019	115.039019	C5H7O3		C5H9NO3_131.058243	M-NH3+H[1+]
C17H24NaO3_299.161821	299.161821	C17H24NaO3		C17H24O3_276.172545	M+Na[1+]
C16(C13)H35NO5_167.126913	167.126913	C16(C13)H35NO5		C17H33NO5_331.235873	M(C13)+2H[2+]
