	mz	charged_formula	selectivity	neutral_formula_mass	ion_relation
C19(C13)H33O2_102.083203	102.083203	C19(C13)H33O2		C20H30O2_302.22458	M(C13)+3H[3+]
C16H13N2NaO4S_176.024165	176.024165	C16H13N2NaO4S		C16H12N2O4S_328.051778	M+H+Na[2+]
CH3N4O10_230.984398	230.984398	CH3N4O10		C4H6N4O12_301.998222	M-C3H4O2+H[1+]
C19H16NaO4_331.094135	331.094135	C19H16NaO4		C19H16O4_308.104859	M+Na[1+]
C7H17Si_129.109403	129.109403	C7H17Si		C7H16Si_128.102127	M+H[1+]
C3H4NaO4S_158.972306	158.972306	C3H4NaO4S		C3H4O4S_135.98303	M+Na[1+]
C14H20NO_218.153989	218.153989	C14H20NO		C14H22N2O_234.173213	M-NH3+H[1+]
C7H15N2O3_175.107718	175.107718	C7H15N2O3		C7H14N2O3_174.100442	M+H[1+]
C13H25N2O_225.196137	225.196137	C13H25N2O		C13H21NO_207.162314	M+NH4[1+]
C7H18Cl2N2NaO3P_151.015968	151.015968	C7H18Cl2N2NaO3P		C7H17Cl2N2O3P_278.035384	M+H+Na[2+]
C18H27O3_291.195506	291.195506	C18H27O3		C18H24O2_272.17763	M+H2O+H[1+]
C18H21KN2O10S_497.062612	497.062612	C18H21KN2O10S		C17H20N2O8S_412.094036	M+HCOOK[1+]
C5H3N4S_151.007342	151.007342	C5H3N4S		C5H5N5S_167.026566	M-NH3+H[1+]
C12H24N4O3_272.184206	272.184206	C12H24N4O3		C13H23N4O4_299.17193	M-CO+H[1+]
C6H13O5_165.075749	165.075749	C6H13O5		C6H12O5_164.068473	M+H[1+]
NaO3Sb2_312.781636	312.781636	NaO3Sb2		O3Sb2_289.79236	M+Na[1+]
C14H28O_212.213467	212.213467	C14H28O		C14H28O_212.214016	M[1+]
C9H7O3_163.03897	163.03897	C9H7O3		C9H6O3_162.031694	M+H[1+]
C6H7N4NaO4_111.017729	111.017729	C6H7N4NaO4		C6H6N4O4_198.038905	M+H+Na[2+]
C5H8NO_98.060089	98.060089	C5H8NO		C5H10N2O_114.079313	M-NH3+H[1+]
H3NiO2_92.948132	92.948132	H3NiO2		NiO_73.930256	M+H2O+H[1+]
C43H73O4_653.550372	653.550372	C43H73O4		C43H70O3_634.532496	M+H2O+H[1+]
C6H8ClNNaO7P2_325.935729	325.935729	C6H8ClNNaO7P2		C6H8ClNO7P2_302.946453	M+Na[1+]
C5H10N3O4S_208.03865	208.03865	C5H10N3O4S		C5H6N2O4S_190.004827	M+NH4[1+]
C16H18NO_240.138205	240.138205	C16H18NO		C17H17NO2_267.125929	M-CO+H[1+]
H2ClTl_120.978917	120.978917	H2ClTl		ClTl_239.943281	M+2H[2+]
C18H12ClN2O4S2_418.992081	418.992081	C18H12ClN2O4S2		C18H15ClN2O6S2_454.006005	M-H4O2+H[1+]
C19H27_255.210656	255.210656	C19H27		C19H30O2_290.22458	M-H4O2+H[1+]
C7H16N3O3_190.118617	190.118617	C7H16N3O3		C7H15N3O3_189.111341	M+H[1+]
C18H34NO2_296.258403	296.258403	C18H34NO2		C18H30O2_278.22458	M+NH4[1+]
C8H16N2O5S_126.038447	126.038447	C8H16N2O5S		C8H14N2O5S_250.062342	M+2H[2+]
C4H7N4_111.066437	111.066437	C4H7N4		C5H6N4O_138.054161	M-CO+H[1+]
C2H2Cl3F4Si_234.892198	234.892198	C2H2Cl3F4Si		C2HCl3F4Si_233.884922	M+H[1+]
C10H19O2_171.137991	171.137991	C10H19O2		C10H16O_152.120115	M+H2O+H[1+]
C4H7Cl3O_175.955699	175.955699	C4H7Cl3O		C4H7Cl3O_175.956248	M[1+]
C7H6ClNaO_165.007741	165.007741	C7H6ClNaO		C7H6O_106.041865	M+NaCl[1+]
C9H17N2O6_249.108112	249.108112	C9H17N2O6		C9H16N2O6_248.100836	M+H[1+]
C15H23N3O3_293.173393	293.173393	C15H23N3O3		C15H23N3O3_293.173942	M[1+]
C20(C13)H21O5_118.046818	118.046818	C20(C13)H21O5		C21H18O5_350.115424	M(C13)+3H[3+]
C7H11N2_123.091754	123.091754	C7H11N2		C8H12N2O2_168.089878	M-HCOOH+H[1+]
C10H9ClNNaO3_250.024119	250.024119	C10H9ClNNaO3		C10H9NO3_191.058243	M+NaCl[1+]
C20H10Br4NaO5_668.715446	668.715446	C20H10Br4NaO5		C20H10Br4O5_645.72617	M+Na[1+]
C11H15NO5_241.094474	241.094474	C11H15NO5		C11H15NO5_241.095023	M[1+]
C22H46NO8_452.321791	452.321791	C22H46NO8		C22H42O8_434.287968	M+NH4[1+]
C9H9O3_165.05462	165.05462	C9H9O3		C9H8O3_164.047344	M+H[1+]
C10H14FN5NaO7P_194.525108	194.525108	C10H14FN5NaO7P		C10H13FN5O7P_365.053663	M+H+Na[2+]
C6H12N3O4_190.082267	190.082267	C6H12N3O4		C6H9N3O3_171.064391	M+H2O+H[1+]
C5H9AsCl3_248.898029	248.898029	C5H9AsCl3		C5H8AsCl3_247.890753	M+H[1+]
C16H27N2NaO5S_191.076398	191.076398	C16H27N2NaO5S		C16H26N2O5S_358.156243	M+H+Na[2+]
C7H5N4O3_193.035695	193.035695	C7H5N4O3		C8H6N4O5_238.033819	M-HCOOH+H[1+]
C7H11NO3_157.073344	157.073344	C7H11NO3		C7H11NO3_157.073893	M[1+]
C12H15O4_223.096485	223.096485	C12H15O4		C12H14O4_222.089209	M+H[1+]
C30H54N5O6_580.40689	580.40689	C30H54N5O6		C31H53N5O8_623.389414	M-CO2+H[1+]
C3(C13)H5N2_82.048124	82.048124	C3(C13)H5N2		C4H4N2_80.037448	M(C13)+H[1+]
C6H6KN4S_204.994093	204.994093	C6H6KN4S		C6H6N4S_166.031317	M+K[1+]
